npn_rep_hex,npn_rep_dec,opt_aig,opt_mig,t_sec
0x0000,0,0,0,0.0
0x0001,1,3,3,0.1
0x0003,3,2,2,0.0
0x0006,6,5,3,0.1
0x0007,7,3,3,0.1
0x000f,15,1,1,0.0
0x0016,22,7,4,0.6
0x0017,23,5,2,0.0
0x0018,24,6,4,0.6
0x0019,25,5,4,0.6
0x001b,27,4,3,0.1
0x001e,30,5,4,0.6
0x001f,31,3,3,0.1
0x003c,60,4,3,0.1
0x003d,61,5,4,0.6
0x003f,63,2,2,0.0
0x0069,105,7,4,0.6
0x006b,107,7,4,0.6
0x006f,111,5,3,0.1
0x007e,126,6,4,0.6
0x007f,127,3,3,0.1
0x00ff,255,0,0,0.0
0x0116,278,9,6,49.4
0x0117,279,7,4,0.6
0x0118,280,8,5,3.4
0x0119,281,7,4,0.6
0x011a,282,7,4,0.2
0x011b,283,6,3,0.1
0x011e,286,7,5,3.0
0x011f,287,5,2,0.0
0x012c,300,8,5,3.3
0x012d,301,7,4,0.6
0x012f,303,5,3,0.1
0x013c,316,7,5,3.2
0x013d,317,6,4,0.6
0x013e,318,7,5,3.1
0x013f,319,5,3,0.1
0x0168,360,9,5,3.4
0x0169,361,8,4,0.6
0x016a,362,8,5,3.2
0x016b,363,8,4,0.6
0x016e,366,8,5,3.2
0x016f,367,6,4,0.6
0x017e,382,8,5,3.0
0x017f,383,6,2,0.0
0x0180,384,7,5,3.0
0x0181,385,6,5,3.3
0x0182,386,8,5,3.2
0x0183,387,6,5,3.3
0x0186,390,9,5,5.6
0x0187,391,7,5,3.4
0x0189,393,5,5,3.3
0x018b,395,5,4,0.6
0x018f,399,5,4,0.6
0x0196,406,9,6,45.9
0x0197,407,9,6,47.8
0x0198,408,8,5,3.2
0x0199,409,6,5,3.4
0x019a,410,8,5,3.2
0x019b,411,7,4,0.6
0x019e,414,9,5,4.2
0x019f,415,7,4,0.6
0x01a8,424,6,5,3.3
0x01a9,425,5,5,3.4
0x01aa,426,5,5,2.9
0x01ab,427,4,4,0.2
0x01ac,428,7,6,97.3
0x01ad,429,6,5,3.5
0x01ae,430,6,5,3.2
0x01af,431,4,4,0.6
0x01bc,444,8,5,4.4
0x01bd,445,7,5,3.4
0x01be,446,8,5,3.5
0x01bf,447,6,3,0.1
0x01e8,488,8,5,4.1
0x01e9,489,7,5,3.3
0x01ea,490,7,5,3.4
0x01eb,491,6,5,3.4
0x01ee,494,5,5,2.9
0x01ef,495,4,4,0.6
0x01fe,510,5,5,3.0
0x033c,828,6,4,0.5
0x033d,829,7,5,2.9
0x033f,831,4,1,0.0
0x0356,854,5,5,3.2
0x0357,855,3,3,0.1
0x0358,856,7,6,89.0
0x0359,857,7,5,3.9
0x035a,858,6,5,3.5
0x035b,859,6,4,0.6
0x035e,862,7,6,68.8
0x035f,863,4,3,0.1
0x0368,872,8,6,58.2
0x0369,873,8,5,3.3
0x036a,874,8,5,3.4
0x036b,875,7,5,3.1
0x036c,876,7,5,3.3
0x036d,877,8,5,3.8
0x036e,878,8,5,3.4
0x036f,879,7,4,0.6
0x037c,892,7,5,3.5
0x037d,893,7,5,3.3
0x037e,894,8,5,3.4
0x03c0,960,5,4,0.5
0x03c1,961,6,5,3.4
0x03c3,963,4,4,0.6
0x03c5,965,6,5,3.1
0x03c6,966,6,5,3.4
0x03c7,967,5,5,3.1
0x03cf,975,3,3,0.1
0x03d4,980,7,5,3.2
0x03d5,981,6,5,3.5
0x03d6,982,7,6,72.3
0x03d7,983,5,4,0.6
0x03d8,984,7,6,91.0
0x03d9,985,7,6,85.3
0x03db,987,6,5,3.2
0x03dc,988,6,5,3.3
0x03dd,989,5,5,3.2
0x03de,990,6,5,3.2
0x03fc,1020,4,4,0.5
0x0660,1632,7,5,3.1
0x0661,1633,9,5,3.8
0x0662,1634,7,5,4.6
0x0663,1635,7,5,3.7
0x0666,1638,5,4,0.5
0x0667,1639,7,4,0.6
0x0669,1641,9,6,70.6
0x066b,1643,9,6,51.4
0x066f,1647,7,4,0.6
0x0672,1650,7,5,3.4
0x0673,1651,7,5,4.4
0x0676,1654,6,5,3.5
0x0678,1656,9,5,3.8
0x0679,1657,9,5,3.7
0x067a,1658,8,6,53.8
0x067b,1659,9,5,3.3
0x067e,1662,8,5,3.2
0x0690,1680,8,4,0.6
0x0691,1681,9,5,3.4
0x0693,1683,8,5,3.3
0x0696,1686,7,4,0.6
0x0697,1687,8,5,3.1
0x069f,1695,6,3,0.1
0x06b0,1712,8,5,3.9
0x06b1,1713,9,5,3.8
0x06b2,1714,8,5,3.6
